i,Runners,Winners,Expected,Archie
0,1111,6,6.339736569952887,0.018310437031749546
1,1480,17,20.754014354238862,0.6886886937125775
2,2447,45,60.12167201212508,3.89917085922035
3,2141,75,74.17517016827347,0.009501302935025949
4,1898,92,83.28204121965096,0.9544767028842779
5,2116,115,114.22471860320321,0.005562358426453561
6,1826,145,118.28687051269114,6.4505812886435985
7,1317,89,97.71123321123416,0.8388686972050255
8,1646,137,137.57898550724403,0.0026588298135367732
9,1201,104,111.89610389610657,0.6144470150941437
10,1716,171,177.27962109913156,0.24806508563763838
11,1134,141,130.6571948723121,0.9253522132380275
12,845,102,105.61874609130734,0.14169792491576297
13,904,130,122.19969969969868,0.57573827779274
14,594,85,86.09663865546192,0.016336020218279713
15,691,113,106.31155303030341,0.4973059420396855
16,814,121,134.1745033716049,1.5489074394089142
17,515,76,90.38987555094637,2.7785049273382194
18,510,87,94.48713550600355,0.728189488137803
19,320,56,62.119155354449504,0.7479771159428331
20,461,110,94.10068027210887,3.3753463380331907
21,336,78,72.31267345050867,0.5699699141898877
22,299,77,67.19191919191911,1.8466884870363205
23,309,69,72.7685492801773,0.2552850856834635
24,150,32,36.585365853658416,0.7600860215053381
25,348,89,88.35620603025669,0.006287211166499791
26,151,40,40.01403508771929,0.00000669771709088678
27,201,47,55.1050022625366,1.6423696543623805
28,188,40,53.68909106814799,4.885508068724595
29,138,41,40.91308165057065,0.0002624696659571495
30,106,30,32.3822843822844,0.2523499674328963
31,116,31,36.55257936507933,1.2315433634604909
32,108,33,35.113696456901124,0.18853262674868967
33,105,38,35.14607896487091,0.3483417542999354
34,103,43,35.50641601745759,2.4134986211067426
35,56,24,19.902366646431997,1.3087924084048197
36,48,19,17.516381354191953,0.19786769349812341
37,56,21,20.989450673268426,0.000008480813566603428
38,55,19,21.151775025377024,0.35569167215608327
39,46,12,18.098567757155354,3.3879955651868845
40,64,30,25.932779576341492,1.0724453188825278
41,23,11,9.545454545454547,0.3788931788931782
42,27,9,11.43042179931512,0.896164970221331
43,30,14,13.051697835292883,0.1219611552860994
44,21,14,9.331542351453853,4.203385828127899
45,26,13,11.818782919700352,0.2164444844789177
46,23,8,10.700069228106615,1.274055597040081
47,15,7,7.11141060197664,0.003318861997562405
48,25,10,12.084578043315906,0.6960432666463134
49,15,6,7.3772083090662015,0.505923006293271
50,29,15,14.570758989017797,0.025414101136555168
51,18,8,9.244203300267156,0.3442627597469911
52,16,9,8.404751061044118,0.08880764940974836
53,8,3,4.272447108249926,0.813334052511905
54,13,7,7.06537845169349,0.0013252083275729297
55,11,4,6.108144627234722,1.636102727658865
56,15,9,8.4684086148093,0.07663485054745514
57,14,4,8.04612887610695,4.784329088378657
58,7,5,4.093687250501996,0.48327820700035623
59,6,3,3.5679908146513397,0.22307193620882032
60,6,2,3.629061701350858,1.8505964025607293
61,8,4,4.926910550632432,0.45395808881974914
62,11,4,6.875195320129691,3.2065569808670755
63,5,4,3.172619527533661,0.5903826211901937
64,3,3,1.923076923076923,1.6800000000000002
65,5,3,3.285173718610251,0.0721789452126012
66,5,3,3.3289183222958054,0.09724008283430667
67,4,3,2.698167966624342,0.10374489001396875
68,1,1,0.6896551724137931,0.4499999999999999
69,4,4,2.7874902874902876,1.73993031358885
70,1,0,0.7092198581560284,2.4390243902439024
71,3,1,2.142857142857143,2.1333333333333333
72,3,2,2.179202369618111,0.05386108459077289
73,0,0,0,NaN
74,2,1,1.4870093974571585,0.6218441545955643
75,1,0,0.7575757575757576,3.1249999999999996
76,3,3,2.3018203170874925,0.9099489795918371
77,3,3,2.325581395348837,0.8700000000000006
78,1,1,0.7874015748031495,0.27000000000000013
79,0,0,0,NaN
80,0,0,0,NaN
81,1,1,0.8130081300813008,0.23
82,0,0,0,NaN
83,1,1,0.8333333333333334,0.19999999999999996
84,0,0,0,NaN
85,1,1,0.8547008547008548,0.1699999999999999
86,1,1,0.8695652173913044,0.1499999999999999
87,2,1,1.7543859649122808,2.6414285714285737
88,1,1,0.8849557522123894,0.12999999999999995
89,0,0,0,NaN
90,1,0,0.9090909090909091,9.999999999999995
91,0,0,0,NaN
92,0,0,0,NaN
93,0,0,0,NaN
94,0,0,0,NaN
95,0,0,0,NaN
96,0,0,0,NaN
97,0,0,0,NaN
98,0,0,0,NaN
99,0,0,0,NaN
